V001_StudentID,V002_MatriculaID,V003_CohorteIngreso,V004_AnioIngreso,V005_SemestreIngreso,V006_Edad,V007_Genero,V008_Distrito,V009_NivelSocioeconomico,V010_ColegioProc,V011_TipoIngreso,V012_Facultad,V013_Carrera,V014_CicloActual,V015_CreditosAprobados,V016_CreditosCicloActual,V017_PPA,V018_PPC,V019_CursosDesaprobadosHist,V020_CursosRepetidosActual,V021_TasaAprobacionHist,V022_EstadoMatricula,V023_PensionMensual,V024_BecaTipo,V025_BecaMonto,V026_MoraPensionDias,V027_DeudaPendienteMatricula,V028_TrabajaActualmente,V029_IngresoLaboralMensual,V030_HorasTrabajoSemana,V031_TasaAsistenciaPct,V032_HorasEstudioSemana,V033_HorasLMS_Semana,V034_AccesosLMS_Semana,V035_TareasEntregadasPct,V036_ParticipacionForos,V037_VisitasBiblioteca_Mes,V038_VisitasTutoria,V039_ActividadesExtracurr,V040_GruposEstudio,V041_IndiceBienestarMental,V042_IndiceBienestarFisico,V043_VisitasPsicologia,V044_VisitasCentroSalud,V045_IndiceEstresPercibido,V046_SatisfaccionGeneral,V047_SatisfaccionDocentes,V048_SatisfaccionServicios,V049_NPS_Universidad,V050_UsoAppUPIE,V051_SesionesApp_Semana,V052_MinutosVideo_Semana,V053_TokensForoTexto,V054_SentimientoForoNLP,V055_RatioAlumnoDocente,V056_TamañoClase,V057_DocentesTCpct,V058_ConveniosEmpresa,V059_PracticasProfesionales,V060_OfertaPracticasRecibidas,V061_MentoriaSesiones,V062_ServiciosCarreraUso,V063_TasaEmpleabilidadCarrera,V064_SalarioPrimerEmpleo,V065_RedExalumnosActivo,V066_DonacionEgresado,V067_RiesgoDesercionPCA1,V068_EmbeddingSimilitudEstudiante,V069_InstrumentoPandemia,V070_DriftScoreCohorte,V071_FoldCV_K5,V072_ConfidenceScoreDesercion,V073_PesoSMOTE_Desercion,V074_SHAP_MoraPension,V075_DesercionBinario,V076_RiesgoAcademicoAlto,V077_SegmentoRetencion,V078_TutoriasRecomendadas
UPIE-00001,MAT-00001,2018-I,2018,I,17,M,San Miguel,B,Nacional,Examen regular,Negocios,Administración,6,88,16,15.63,13.5,0,0,1.0,Activo,2219.54,Sin beca,0.0,0,0.0,1,1949.27,13,78.3,22.9,10.1,16,99.0,4,4,2,4,1,63.6,64.3,1,5,55.1,74.4,47.9,41.4,40,0,0,164.6,84,0.7461,26.1,29,0.369,11,0,0,3,1,0.798,0.0,0,0.0,-0.0675,0.7059,0,0.2191,0,0.5785,1.0,0.0135,0,0,Comprometido,0
UPIE-00002,MAT-00002,2019-I,2019,I,22,M,Los Olivos,D,Privado,Examen regular,Ciencias de la Salud,Medicina,2,30,16,8.66,9.74,4,3,0.825,Activo,463.09,PRONABEC,393.63,15,186.15,0,0.0,0,64.0,21.7,9.2,13,82.3,2,2,4,2,1,87.5,92.9,2,1,24.5,84.7,57.7,39.8,37,1,3,201.4,51,0.6429,23.1,24,0.477,8,0,0,2,1,0.98,0.0,0,0.0,-0.0044,0.7477,0,0.1562,1,0.7471,1.0,0.0652,1,1,Vulnerable,4
UPIE-00003,MAT-00003,2024-II,2024,II,42,M,Los Olivos,C,Privado,Traslado externo,Negocios,Administración,8,127,13,13.3,10.73,1,0,0.955,Egresado,913.89,Beca parcial,625.09,0,0.0,0,0.0,0,78.7,11.0,8.5,11,92.2,1,0,2,5,1,75.8,82.5,2,2,37.3,75.9,66.0,51.7,28,1,6,62.6,43,0.3826,18.4,48,0.526,1,1,2,3,1,0.826,2242.67,0,0.0,-0.1488,0.7447,0,0.1733,2,0.4478,1.0,0.0064,0,0,Comprometido,0
UPIE-00004,MAT-00004,2019-I,2019,I,29,M,Otro,C,Nacional,Convenio empresa,Humanidades,Psicología,6,86,13,15.98,8.59,1,1,0.92,Activo,778.66,Beca parcial,516.55,30,703.81,0,0.0,0,66.5,23.9,9.0,10,91.5,1,1,1,3,0,68.8,57.0,1,2,30.5,86.4,89.0,48.4,46,0,0,107.3,59,0.5676,29.4,36,0.727,13,1,0,1,0,0.897,0.0,0,0.0,-0.0837,0.7934,0,0.0521,3,0.6508,1.0,0.1359,0,0,En seguimiento,1
UPIE-00005,MAT-00005,2023-I,2023,I,29,F,Surco,D,Privado,Convenio empresa,Humanidades,Educación,7,124,15,12.61,11.18,1,1,0.918,Desertor,514.01,Sin beca,0.0,0,0.0,1,2639.27,33,85.3,28.8,5.6,7,99.8,4,4,1,2,2,55.2,87.8,1,3,47.2,60.8,56.5,100.0,-1,0,0,22.5,88,0.3188,25.8,50,0.58,7,1,2,1,1,0.802,0.0,0,0.0,-0.0893,0.7128,0,0.0912,4,0.6034,5.0,0.0147,0,0,Comprometido,0
UPIE-00006,MAT-00006,2021-II,2021,II,45,F,Callao,C,Privado,Traslado externo,Ingeniería,Ing. Civil,9,123,17,17.79,10.61,0,2,1.0,Activo,963.76,PRONABEC,819.2,0,0.0,0,0.0,0,88.0,22.1,13.6,13,96.2,4,2,1,2,0,62.4,78.4,3,0,11.9,81.1,61.4,19.6,15,1,7,57.0,74,0.9649,32.2,20,0.73,19,1,1,1,1,0.98,0.0,0,0.0,-0.1888,0.7301,1,0.1971,0,0.5485,1.0,-0.0153,0,0,Estrella,0
UPIE-00007,MAT-00007,2018-II,2018,II,44,M,Los Olivos,C,Privado,Examen regular,Derecho,Derecho,8,112,17,11.84,11.21,0,1,0.886,Activo,1648.49,Sin beca,0.0,0,0.0,0,0.0,0,83.3,15.5,10.1,15,92.7,3,1,2,3,1,76.8,36.8,1,0,30.1,99.8,50.8,100.0,50,0,0,214.7,75,0.5872,25.1,35,0.749,18,1,0,2,0,0.816,0.0,0,0.0,-0.042,0.6095,0,0.15,1,0.6406,1.0,0.0332,1,0,En seguimiento,1
UPIE-00008,MAT-00008,2019-I,2019,I,21,F,Pueblo Libre,B,Privado,Convenio empresa,Humanidades,Educación,3,52,18,14.29,15.93,0,0,1.0,Activo,2081.17,Beca parcial,1243.23,0,0.0,0,0.0,0,90.9,7.9,7.1,15,90.4,3,2,0,2,1,65.6,55.9,1,0,44.4,100.0,99.2,73.9,0,0,0,114.8,62,0.7632,18.7,29,0.677,9,0,0,3,0,0.49,0.0,0,0.0,-0.0608,0.7128,0,0.0979,2,0.5174,1.0,0.008,0,0,Comprometido,1
UPIE-00009,MAT-00009,2017-I,2017,I,28,F,SJL,C,Privado,Examen regular,Ingeniería,Ing. Industrial,1,15,14,13.95,11.2,0,0,1.0,Egresado,1326.6,Sin beca,0.0,0,0.0,1,551.87,24,54.2,12.6,8.3,11,98.8,6,1,1,2,5,71.9,40.8,1,1,58.0,79.3,76.6,76.3,-15,1,9,195.6,96,0.4739,24.6,16,0.68,17,0,0,1,0,0.57,1900.07,0,0.0,0.0317,0.7307,0,0.081,3,0.3507,1.0,-0.0651,0,0,En seguimiento,0
UPIE-00010,MAT-00010,2023-I,2023,I,44,M,San Borja,A,Privado elite,Examen regular,Arquitectura,Diseño Gráfico,3,41,19,15.56,12.95,0,0,0.978,Desertor,1997.61,Beca parcial,1048.02,0,0.0,0,0.0,0,83.4,11.3,7.5,16,97.2,3,3,3,2,1,86.0,72.3,0,0,35.0,97.2,100.0,50.1,88,0,0,49.2,62,0.2386,32.5,47,0.597,23,0,0,4,1,0.663,0.0,1,703.16,-0.1847,0.6555,0,0.0988,4,0.6259,5.0,0.0065,0,0,Comprometido,0
UPIE-00011,MAT-00011,2020-II,2020,II,18,F,La Molina,C,Privado,Examen regular,Ingeniería,Ing. Electrónica,4,71,15,11.01,12.35,5,0,0.758,Activo,1166.76,PRONABEC,991.75,0,0.0,0,0.0,0,81.9,15.0,4.2,9,77.3,5,0,2,3,1,47.7,84.5,0,0,40.6,76.1,89.2,76.0,94,0,0,114.8,87,0.52,21.3,49,0.5,13,0,0,0,1,0.826,0.0,0,0.0,0.06,0.6912,1,0.0263,0,0.4225,1.0,0.0999,1,0,En seguimiento,1
UPIE-00012,MAT-00012,2018-I,2018,I,29,M,Pueblo Libre,C,Nacional,Examen regular,Arquitectura,Diseño Gráfico,7,109,18,17.37,10.26,0,1,1.0,Activo,868.78,Beca parcial,422.84,0,0.0,0,0.0,0,64.0,30.1,13.8,14,91.2,1,2,1,2,1,60.6,86.2,0,1,56.1,76.7,61.1,66.7,20,1,2,332.8,49,0.6767,22.3,25,0.317,17,0,0,2,0,0.785,0.0,1,352.19,-0.0933,0.7409,0,0.2365,1,0.5673,1.0,0.0589,1,0,En seguimiento,0
UPIE-00013,MAT-00013,2020-II,2020,II,43,F,Surco,B,Nacional,Examen regular,Negocios,Contabilidad,2,27,21,12.71,10.46,2,1,0.793,Activo,2345.78,Beca total,2345.78,0,0.0,0,0.0,0,55.3,15.7,9.4,10,82.8,6,0,1,1,1,51.1,88.4,2,0,77.6,69.1,75.6,66.5,67,0,0,162.4,110,0.5113,20.4,53,0.701,12,0,0,1,0,0.907,0.0,0,0.0,0.1469,0.5717,1,0.0096,2,0.584,1.0,-0.025,0,0,En seguimiento,1
UPIE-00014,MAT-00014,2021-I,2021,I,48,M,Callao,A,Privado,Examen regular,Negocios,Contabilidad,10,133,15,8.6,13.34,4,2,0.796,Activo,3690.5,Sin beca,0.0,15,1159.24,0,0.0,0,76.8,24.6,7.6,14,71.3,0,2,0,2,3,70.9,45.5,0,2,26.2,59.9,67.7,33.8,-18,0,0,159.2,37,0.5631,19.3,47,0.489,5,1,2,5,0,0.796,0.0,0,0.0,0.0472,0.7667,1,0.0857,3,0.8026,1.0,0.0886,0,1,Vulnerable,3
UPIE-00015,MAT-00015,2022-II,2022,II,23,M,Jesús María,C,Otro,Traslado externo,Ingeniería,Ing. Sistemas,10,168,14,13.05,14.88,2,0,0.918,Activo,1030.62,Beca parcial,334.61,0,0.0,0,0.0,0,64.9,22.1,11.0,9,91.5,1,0,1,2,3,65.4,70.0,2,3,52.0,84.3,74.5,81.4,7,0,0,68.5,50,0.4888,23.0,48,0.359,3,0,0,1,1,0.85,0.0,0,0.0,-0.0376,0.8458,0,0.0095,4,0.6931,1.0,0.0774,0,0,En seguimiento,1
UPIE-00016,MAT-00016,2022-I,2022,I,48,M,Surco,A,Nacional,Examen regular,Ingeniería,Ing. Electrónica,4,61,13,8.79,13.67,4,0,0.772,Activo,2715.84,Beca parcial,1251.3,0,0.0,1,5117.79,12,87.8,21.7,6.4,17,76.5,6,0,0,5,2,41.5,49.8,0,1,57.0,65.3,97.5,44.8,54,1,3,161.2,117,0.2563,24.1,36,0.351,22,1,1,1,0,0.98,0.0,1,163.99,0.1172,0.7045,0,0.0487,0,0.6998,1.0,0.0554,0,1,Vulnerable,4
UPIE-00017,MAT-00017,2022-II,2022,II,23,F,Otro,A,Nacional,Examen regular,Ingeniería,Ing. Civil,1,17,16,11.5,11.16,3,0,0.857,Desertor,3924.35,Convenio,1359.28,0,0.0,0,0.0,0,64.9,22.6,2.4,11,76.6,1,1,3,1,1,36.8,80.6,2,1,23.8,83.2,59.9,55.7,98,1,3,213.3,46,0.7146,25.3,43,0.483,13,0,0,1,0,0.542,0.0,0,0.0,0.0074,0.7031,0,0.2362,1,0.6718,5.0,-0.0061,0,0,En seguimiento,0
UPIE-00018,MAT-00018,2024-II,2024,II,36,F,Otro,C,Privado,Examen regular,Negocios,Administración,1,16,20,16.6,8.91,0,2,0.973,Desertor,1260.91,Sin beca,0.0,0,0.0,0,0.0,0,94.6,23.5,7.0,15,95.1,2,1,0,3,2,43.4,71.0,1,3,44.0,68.3,82.0,60.3,74,1,3,155.1,60,0.451,20.0,27,0.356,15,0,0,2,1,0.68,0.0,1,207.45,-0.0875,0.5667,0,0.2271,2,0.6795,5.0,0.0044,0,0,Estrella,1
UPIE-00019,MAT-00019,2020-II,2020,II,49,M,Jesús María,C,Nacional,Beca PRONABEC,Ciencias de la Salud,Medicina,9,117,15,14.7,11.55,0,2,0.965,Activo,1546.12,Sin beca,0.0,0,0.0,1,1284.67,43,80.7,13.8,8.6,10,97.8,5,4,1,3,1,68.3,97.0,2,2,42.0,64.9,54.8,78.8,98,0,0,153.3,96,0.3648,30.3,44,0.691,17,0,0,2,0,0.654,0.0,0,0.0,-0.1936,0.6905,1,0.2067,3,0.6336,1.0,0.0305,0,0,Comprometido,0
UPIE-00020,MAT-00020,2017-II,2017,II,41,F,San Isidro,C,Privado elite,Directivo,Ingeniería,Ing. Sistemas,10,160,21,11.82,13.81,3,0,0.809,Activo,1126.15,PRONABEC,957.23,0,0.0,1,1589.24,29,78.8,27.2,7.2,14,79.7,2,4,2,5,1,79.4,61.8,0,2,69.9,58.0,85.5,67.3,59,0,0,102.1,50,0.4484,28.8,35,0.306,23,0,0,2,1,0.713,0.0,0,0.0,0.0142,0.7676,0,0.1076,4,0.4182,1.0,0.0117,0,0,En seguimiento,3
UPIE-00021,MAT-00021,2021-II,2021,II,20,F,Los Olivos,D,Nacional,Examen regular,Negocios,Contabilidad,8,132,15,12.07,11.3,0,1,1.0,Activo,648.96,Sin beca,0.0,120,1347.34,0,0.0,0,80.5,12.0,14.8,12,100.0,6,0,2,1,2,55.0,54.1,0,0,10.6,80.0,100.0,68.4,-2,0,0,59.3,93,0.8067,29.0,19,0.654,5,0,0,2,0,0.571,0.0,1,604.48,-0.0515,0.6288,1,0.3185,0,0.7333,1.0,0.6071,0,0,En crisis,4
UPIE-00022,MAT-00022,2023-II,2023,II,33,F,San Isidro,A,Privado,Examen regular,Negocios,Economía,5,73,14,16.11,12.88,0,1,0.946,Reserva,2392.13,Sin beca,0.0,60,3088.45,0,0.0,0,88.5,16.9,10.6,13,97.1,1,2,2,2,3,40.0,72.1,0,0,35.3,69.3,70.0,74.8,-7,0,0,43.6,56,0.334,28.3,28,0.75,11,0,0,1,0,0.814,0.0,0,0.0,-0.1072,0.8039,0,0.1189,1,0.5316,1.0,0.304,0,0,En seguimiento,3
UPIE-00023,MAT-00023,2021-I,2021,I,25,F,Surco,A,Nacional,Convenio empresa,Derecho,Derecho,1,13,14,14.09,11.85,0,0,0.993,Activo,2070.18,Sin beca,0.0,0,0.0,1,1701.81,39,93.3,8.1,3.9,13,92.6,2,2,2,3,1,50.0,84.9,3,2,32.5,53.1,62.5,63.6,55,0,0,33.3,59,0.9176,20.9,44,0.676,11,0,0,2,1,0.589,0.0,1,36.77,-0.2621,0.7122,1,0.0262,2,0.4984,1.0,-0.097,0,0,Comprometido,0
UPIE-00024,MAT-00024,2019-I,2019,I,31,M,Callao,A,Nacional,Convenio empresa,Ciencias de la Salud,Nutrición,4,67,14,14.17,14.98,0,0,0.881,Activo,4034.98,Sin beca,0.0,0,0.0,0,0.0,0,74.5,12.7,8.6,18,94.7,3,0,3,3,2,73.8,97.7,0,2,30.1,20.4,66.3,51.7,40,1,8,135.2,73,0.0322,20.3,38,0.54,10,0,0,2,0,0.678,0.0,0,0.0,-0.2167,0.6241,0,0.0806,3,0.6562,1.0,-0.064,0,0,En seguimiento,2
UPIE-00025,MAT-00025,2019-I,2019,I,45,M,Jesús María,C,Nacional,Convenio empresa,Ingeniería,Ing. Civil,2,32,13,15.8,11.08,0,1,0.965,Activo,1252.19,Sin beca,0.0,0,0.0,1,746.26,41,53.7,14.5,12.9,13,78.4,6,3,3,0,4,39.7,91.6,2,0,46.3,66.7,69.5,88.5,38,1,10,93.3,101,0.6072,32.1,37,0.477,12,1,1,3,0,0.699,0.0,0,0.0,-0.0534,0.5913,0,0.1098,4,0.7565,1.0,0.0127,0,0,En seguimiento,3
UPIE-00026,MAT-00026,2023-II,2023,II,36,F,San Isidro,D,Nacional,Examen regular,Negocios,Marketing,2,27,15,13.31,11.88,0,0,1.0,Activo,746.79,Sin beca,0.0,0,0.0,0,0.0,0,62.6,26.1,5.3,12,100.0,3,1,1,2,1,82.4,81.9,1,1,74.7,87.3,81.6,59.9,61,0,0,161.8,66,0.595,33.0,36,0.693,7,1,3,2,0,0.526,0.0,0,0.0,-0.0328,0.7359,0,0.0642,0,0.686,1.0,-0.0651,0,0,En seguimiento,1
UPIE-00027,MAT-00027,2020-I,2020,I,47,F,Surco,C,Nacional,Convenio empresa,Arquitectura,Arquitectura,9,143,12,10.99,11.79,6,0,0.79,Activo,943.57,Sin beca,0.0,15,491.08,0,0.0,0,84.8,4.0,4.1,15,75.6,3,4,0,1,2,78.2,56.8,2,0,24.1,74.0,67.6,80.8,21,0,0,153.3,73,0.3687,23.6,15,0.306,18,1,3,2,1,0.859,0.0,1,173.13,-0.2273,0.7721,1,0.309,1,0.5853,1.0,0.0635,0,1,En seguimiento,0
UPIE-00028,MAT-00028,2019-II,2019,II,45,F,Jesús María,D,Otro,Examen regular,Humanidades,Psicología,6,95,21,14.43,15.03,0,0,0.947,Activo,814.42,Sin beca,0.0,0,0.0,0,0.0,0,78.9,6.0,7.5,7,87.1,4,0,2,1,1,76.4,61.4,0,2,66.9,71.5,55.0,61.2,43,0,0,66.4,88,0.7175,31.4,38,0.634,6,0,0,1,1,0.746,0.0,0,0.0,-0.1323,0.7138,0,0.0616,2,0.5095,1.0,0.0413,1,0,Comprometido,0
UPIE-00029,MAT-00029,2017-I,2017,I,22,F,San Borja,B,Nacional,Convenio empresa,Ciencias de la Salud,Medicina,10,142,12,8.55,12.72,5,1,0.803,Activo,2381.32,Beca parcial,1479.99,0,0.0,0,0.0,0,57.4,18.5,4.5,16,75.4,4,0,3,2,1,54.3,65.9,1,0,46.6,41.8,54.6,94.2,80,0,0,46.5,85,0.2716,18.4,25,0.738,10,1,0,2,0,0.823,0.0,0,0.0,0.1221,0.694,0,0.0073,3,0.7581,1.0,0.0005,0,1,Vulnerable,0
UPIE-00030,MAT-00030,2017-II,2017,II,16,M,Callao,D,Nacional,Examen regular,Ingeniería,Ing. Industrial,3,39,21,15.79,11.7,0,0,0.959,Activo,679.67,PRONABEC,577.72,0,0.0,1,1730.77,20,31.8,14.7,6.7,13,93.2,2,0,0,2,3,33.8,83.2,0,2,61.9,65.6,69.5,41.2,12,1,2,45.8,61,0.811,34.2,42,0.469,16,0,0,1,1,0.922,0.0,0,0.0,-0.1057,0.7204,0,0.0436,4,0.2952,1.0,-0.0047,1,0,En seguimiento,2
UPIE-00031,MAT-00031,2023-II,2023,II,31,M,Los Olivos,B,Privado elite,Convenio empresa,Arquitectura,Diseño Gráfico,7,111,16,12.37,11.39,4,0,0.831,Egresado,2440.8,PRONABEC,2074.68,0,0.0,0,0.0,0,94.3,17.0,8.0,16,82.0,5,3,0,3,0,47.3,81.3,0,1,60.6,62.8,58.0,71.9,7,1,2,91.2,85,0.2149,20.0,53,0.738,4,1,0,3,1,0.648,1149.68,0,0.0,-0.0508,0.6591,0,0.1109,0,0.7636,1.0,-0.0144,0,0,Comprometido,1
UPIE-00032,MAT-00032,2023-I,2023,I,19,M,Lince,C,Privado,Traslado externo,Ingeniería,Ing. Electrónica,2,31,18,18.6,15.67,0,0,0.913,Activo,1281.56,Sin beca,0.0,0,0.0,0,0.0,0,94.3,29.0,10.1,13,94.4,4,2,3,1,1,46.7,89.0,0,3,45.2,100.0,76.1,56.8,44,1,2,101.1,77,0.918,18.4,47,0.538,23,1,3,3,1,0.729,0.0,1,55.31,-0.2752,0.8055,0,0.0973,1,0.5681,1.0,-0.0155,1,0,Estrella,0
UPIE-00033,MAT-00033,2020-I,2020,I,49,F,La Molina,D,Nacional,Examen regular,Ciencias de la Salud,Enfermería,1,15,12,10.79,17.94,4,0,0.818,Activo,551.95,Sin beca,0.0,0,0.0,1,1288.8,40,77.7,42.4,4.3,11,65.4,5,4,1,1,1,53.7,59.2,3,5,53.7,52.8,54.1,75.1,33,0,0,87.6,113,-0.0276,27.4,40,0.403,18,1,1,1,0,0.836,0.0,1,237.12,0.0363,0.6635,1,0.0753,2,0.4688,1.0,-0.0226,0,1,En seguimiento,3
UPIE-00034,MAT-00034,2022-II,2022,II,25,F,Lince,C,Privado,Convenio empresa,Ciencias de la Salud,Medicina,3,53,20,17.41,15.83,0,0,0.91,Desertor,1749.12,Sin beca,0.0,0,0.0,0,0.0,0,56.9,13.8,8.2,15,86.0,2,3,1,1,1,58.9,47.7,3,5,51.8,57.3,87.6,98.4,100,1,9,98.7,73,0.5138,20.6,46,0.524,2,0,0,1,0,0.82,0.0,0,0.0,-0.1385,0.7386,0,0.1198,3,0.7885,5.0,-0.0973,0,0,En seguimiento,1
UPIE-00035,MAT-00035,2020-I,2020,I,40,F,Callao,C,Nacional,Examen regular,Ingeniería,Ing. Civil,1,13,16,19.23,13.13,1,0,0.851,Activo,1212.69,Sin beca,0.0,0,0.0,0,0.0,0,64.8,20.9,4.5,9,95.1,2,2,2,3,0,60.8,79.5,0,1,54.7,84.6,100.0,46.6,52,1,8,254.6,67,0.6982,20.9,27,0.722,19,0,0,1,1,0.703,0.0,0,0.0,-0.2188,0.658,1,0.1542,4,0.5882,1.0,-0.0486,0,0,En seguimiento,2
